[002:OBNA#0016]	墓園@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	交談@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	使用@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	推@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	拉@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	到@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	跟@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	在@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0021]	給@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[004:SCRP#0025]	嗯，這扇門好像鎖住了。
[004:SCRP#0037]	斯瑞普伍德
[004:SCRP#0042]	此房間編號為 # \255\004\000\064。
[004:SCRP#0049]	光源腳本嘗試除以零！
[004:SCRP#0054]	角色光源腳本嘗試除以零！
[005:LSCR#0201]	他回來了。
[005:LSCR#0201]	我說過了，我們沒有棉花糖。
[005:LSCR#0201]	\007好啦，你們不用再擔心拉戈了^@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007我有沒有跟你們說過我把里察克打得屁滾尿流那次？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007跟我說說這個拉戈是什麼來頭。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007那你們幹嘛不把拉戈踢出這座島？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007這個禁運令是怎麼回事？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007海盜生意最近怎麼樣？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007這個禁運令是怎麼回事？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007你們知道哪裡能租到船嗎？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007你們會唱什麼海盜歌嗎？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007你們還會唱其他海盜歌嗎？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007還有剩棉花糖嗎？@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	\007好啦，回頭見了，你們這些臭老鹹水狗。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	聽著，蓋布拉許^\255\003先不說我們都寧死也不想再聽一次那個故事^
[005:LSCR#0201]	^還有一個原因,你不該到處亂講那個故事。
[005:LSCR#0201]	拉戈·拉格蘭德回到痂島了。\255\003他以前是里察克的左右手。
[005:LSCR#0201]	你不會想惹拉戈不高興的。
[005:LSCR#0201]	一個三流小混混!
[005:LSCR#0201]	他不過是隻卑鄙的黃鼠狼!
[005:LSCR#0201]	嗯,我們是會這麼想^
[005:LSCR#0201]	但他以前跟里察克很麻吉^
[005:LSCR#0201]	但里察克已經永遠消失了!
[005:LSCR#0201]	我聽說他們從沒找到他的屍體!
[005:LSCR#0201]	那是因為我把他炸得粉身碎骨了!
[005:LSCR#0201]	喔,不會吧。又是這個故事!
[005:LSCR#0201]	太可怕了。
[005:LSCR#0201]	航海禁令把我們這些海盜全困在陸地上了。\255\003我們沒法幹我們的老本行。
[005:LSCR#0201]	我們有些人試過在陸地上當海盜,但感覺就是不對勁。
[005:LSCR#0201]	你得去島的另一頭^
[005:LSCR#0201]	在那裡你會遇到一個人,名叫^
[005:LSCR#0201]	^崔德船長!
[005:LSCR#0201]	哇!聽起來挺嚇人的。
[005:LSCR#0201]	其實沒那麼糟^\255\003^等你熟了就知道。
[005:LSCR#0201]	當然,他哪都去不了,除非拉戈解除他的航海禁令。
[005:LSCR#0201]	拉戈禁令!
[005:LSCR#0201]	嗯,其實那不算是禁令。\255\003那是對進出船隻課的稅^
[005:LSCR#0201]	但那稅重到誇張,這島上沒有一個船長付得起。
[005:LSCR#0201]	包括崔德在內。
[005:LSCR#0201]	那個蠢蛋拉戈根本不知道要適可而止。\255\003他總不能拿走比我們僅有的還多吧!
[005:LSCR#0201]	當然!芬克這裡就知道一大堆!
[005:LSCR#0201]	來吧,芬克。\255\003唱那首關於痂島的歌。
[005:LSCR#0201]	喔,好吧^
[005:LSCR#0201]	嗯,我寧願當痂島上的海盜^\255\001也不當海盜身上的痂。\255\003如果你們願意聽我碎碎唸,\255\001我會告訴你們我為何欣賞這座島。
[005:LSCR#0201]	喔,這裡的人不太友善。\255\001天氣也稱不上好。
[005:LSCR#0201]	住宿貴得要命,\255\001拉戈還真是個討厭鬼。
[005:LSCR#0201]	住宿貴得要命,\255\001拉戈真是個討厭鬼。
[005:LSCR#0201]	但我喜歡痂島的地方\255\001就在於它沒有的東西:
[005:LSCR#0201]	沒有市長也沒有警察\255\001也沒有牢房讓人爛在裡面。
[005:LSCR#0201]	太美了。
[005:LSCR#0201]	好,這首是關於一個海盜、他的鸚鵡,和海上悲慘的一天^
[005:LSCR#0201]	你該不會要唱「鸚鵡波莉住在戴維瓊斯的儲物櫃裡」吧?\255\003你知道那首每次都讓我哭。
[005:LSCR#0201]	抱歉啦,巴特。
[005:LSCR#0201]	讓我來試一首!
[005:LSCR#0201]	\007好了,夠了。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[005:LSCR#0201]	啊,我還沒唱完。
[005:LSCR#0201]	喔,真希望我能跟瑪莉總督\255\001用法語調調情。\255\003我會對她說:「Voo-lay-voo?」
[005:LSCR#0201]	好了!夠了!\255\003不准唱關於瑪莉總督的歌。
[005:LSCR#0201]	看來蓋布拉許還在對總督念念不忘。
[005:LSCR#0201]	更慘的是他連用英文跟她講話都不會!
[005:LSCR#0201]	抱歉啦,敏感先生。\255\003我知道的其他歌全是關於瑪莉總督的黃色歌曲。
[005:LSCR#0201]	我也是。
[005:LSCR#0201]	棉花糖?
[005:LSCR#0201]	我們沒有棉花糖。
[005:LSCR#0201]	你棍子頂端那個白白軟軟的東西是什麼?
[005:LSCR#0201]	那是我眼罩底下墊的填充物。
[005:LSCR#0201]	我們只是在消毒它而已。
[005:LSCR#0201]	我們是海盜,蓋布拉許,不是女童軍。
[005:LSCR#0201]	他已經成歷史了。
[005:LSCR#0201]	喔真的?\255\003他一定是終於收到我寫的那封惡毒信了。
[005:LSCR#0201]	你寫起狠信來真是一絕,芬克。
[005:LSCR#0201]	這倒提醒我了,我們還有沒有剩熱狗?
[005:LSCR#0202]	所以我闖進教堂,說:「這下你完蛋了,你這個滿身藤壺的膽汁袋!」
[005:LSCR#0202]	^然後里察克哭喊:「蓋布拉許!饒了我吧!」\255\003「我受不了了!」
[005:LSCR#0202]	我想我知道他當時的感受。
[005:LSCR#0202]	對啊,這故事我要是再聽一次,我自己都要哭出來了。
[005:LSCR#0202]	你就沒有新故事嗎?
[005:LSCR#0202]	嗯,其實這就是我來痂島的原因。\255\003我正在展開一場全新的冒險。
[005:LSCR#0202]	留小鬍子?
[005:LSCR#0202]	不。\255\003比那個大多了。
[005:LSCR#0202]	大鬍子?!?
[005:LSCR#0202]	不,我在尋找寶藏。\255\003所有寶藏中最大的一個。
[005:LSCR#0202]	一個價值連城、藏得極深的寶藏,讓海上每個海盜都魂牽夢縈。
[005:LSCR#0202]	你是說^
[005:LSCR#0202]	大驚奇?               \255\002
[005:LSCR#0202]	                               大驚奇?
[005:LSCR#0202]	沒錯,就是它。
[005:LSCR#0202]	那你來這裡幹嘛?\255\003痂島上根本沒有寶藏!
[005:LSCR#0202]	嗯,我之前又不知道!\255\003現在我正想租艘船去別的地方找。
[005:LSCR#0202]	等我回來,我會帶著滿身財富,還有一個全新的故事。
[005:LSCR#0202]	或者你會死在尋寶路上。
[005:LSCR#0202]	不管怎樣,我們都不用再聽里察克的故事了。
[005:LSCR#0203]	喔,\255\004\098\001瓶啤酒在牆上^
[005:LSCR#0203]	\255\004\098\001瓶啤酒^
[005:LSCR#0203]	拿一瓶下來,\255\001傳下去^
[005:LSCR#0203]	\255\004\098\001瓶啤酒在牆上!
[006:VERB#0031]	下面寫著什麼字^\255\003上面寫:「記得要關掉!」
[006:OBNA#0031]	旋鈕@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[006:OBNA#0032]	旋鈕@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[006:OBNA#0033]	旋鈕@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[006:OBNA#0034]	旋鈕@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[006:VERB#0036]	是空的。
[006:VERB#0036]	除了烤乾在上面的熱狗汁以外。
[006:VERB#0036]	是開著的。
[006:VERB#0036]	鏽到卡死開著。
[006:OBNA#0036]	烤爐@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[006:VERB#0037]	被陳年油垢和豬油卡得死死的。\255\003噁。
[006:OBNA#0037]	烤爐@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[006:OBNA#0038]	門@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[006:VERB#0039]	是空的^\255\003^不過,嗯,我還是聞得到醃黃瓜味。
[006:VERB#0039]	我幹嘛要扛著這種又大又空、還泡過醃黃瓜的桶子到處走?
[006:OBNA#0039]	木桶@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0058]	「誠徵人手。\255\003預付一週薪水。\255\003詳情請洽樓下。」
[007:OBNA#0058]	告示@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:OBNA#0040]	船@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0041]	好小一扇門。
[007:OBNA#0041]	門@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:OBNA#0042]	艙門@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:OBNA#0043]	小徑@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:OBNA#0044]	船@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0045]	「省錢挖寶鏟\015──獻給精打細算的尋寶人。」
[007:VERB#0045]	老爸,我挖不動那玩意兒。
[007:OBNA#0045]	鏟子@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0046]	糟了^\255\003^我好像把告示弄壞了。
[007:VERB#0046]	我最好別再搞破壞了。
[007:VERB#0046]	「歡迎來到木蝨鎮」\255\003「禁止尋寶區域」
[007:OBNA#0046]	告示@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:OBNA#0047]	門@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0048]	窗戶上沒有玻璃。
[007:OBNA#0048]	窗戶@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0049]	我正有此意。
[007:OBNA#0049]	財富@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0050]	我正有此意。
[007:OBNA#0050]	財富@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0051]	我正有此意。
[007:OBNA#0051]	財富@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0052]	我打算這麼做。
[007:OBNA#0052]	財富@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0053]	我打算這麼做。
[007:OBNA#0053]	財富@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0054]	我打算這麼做。
[007:OBNA#0054]	財富@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0055]	我打算這麼做。
[007:OBNA#0055]	財富@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0056]	我打算這麼做。
[007:OBNA#0056]	財富@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:VERB#0059]	「血唇酒吧燒烤」
[007:OBNA#0059]	招牌@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:LSCR#0202]	蓋布拉許
[007:LSCR#0203]	拉戈@@@
[007:LSCR#0203]	臭屁鬼,你以為你要去哪?
[007:LSCR#0203]	唉呀,不好意思。
[007:LSCR#0203]	讓開啦,臭屁鬼!
[007:LSCR#0203]	等等,我改變主意了,你給我站住!
[007:LSCR#0204]	你不是這裡的人吧?
[007:LSCR#0204]	這裡是收費橋,你得付錢。
[007:LSCR#0204]	\007這算是要我行賄嗎?\255\009\025\000@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:LSCR#0204]	\007好啦好啦,錢給你,我不想惹麻煩。\255\009\006\000@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:LSCR#0204]	\007矮冬瓜,你能拿我怎樣?\255\009\023\000@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:LSCR#0204]	\007老子什麼都不付,老子是海盜!\255\009\027\000@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:LSCR#0204]	不,這叫勒索。\255\003來,讓我示範一下。
[007:LSCR#0204]	唉,真掃興。\255\003這下我沒機會表演這招了。
[007:LSCR#0204]	硬漢是吧?
[007:LSCR#0204]	救命啊!
[007:LSCR#0204]	警察啊!
[007:LSCR#0204]	哈哈哈!\255\003你儘管大聲叫吧!\255\003痂島上根本沒有警察!
[007:LSCR#0204]	\007那這裡是誰在維持治安、執行法律的?@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:LSCR#0204]	\007那是誰在吃甜甜圈、修理流浪漢的?@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:LSCR#0204]	\007拜託!別弄髒我的新外套!@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:LSCR#0204]	\007好啦,把我放下來,我就不用揍你了。@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[007:LSCR#0204]	這座島上,我就是法律!
[007:LSCR#0204]	這座島上該修理的人,都是我在修理!
[007:LSCR#0204]	也許我該幫你做件水泥外套!
[007:LSCR#0204]	哈哈哈!\255\003這笑話不錯,也許我現在先不殺你了。
[007:LSCR#0204]	嘿!你身上真有錢!
[007:LSCR#0204]	今晚真是我的幸運夜!
[007:LSCR#0204]	記住^\255\003無論你去向何方^\255\003不管海上還是陸地,
[007:LSCR#0204]	你永遠躲不掉\255\003拉戈·拉格蘭德!
[007:LSCR#0204]	蓋布拉許
